2026-02-18 12:30:04 | Actual: 63906996604635 ms | Jitter: 63906996604535 ms
2026-02-18 12:30:12 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:12 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:12 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:12 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:12 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:12 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:12 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:12 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:12 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:13 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:13 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:13 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:13 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:13 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:13 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:13 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:13 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:13 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:14 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:14 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:14 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:14 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:14 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:14 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:14 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:14 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:14 | Actual: 107 ms | Jitter: 7 ms
2026-02-18 12:30:15 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:15 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:15 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:15 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:15 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:15 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:15 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:15 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:15 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:15 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:16 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:16 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:16 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:16 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:16 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:16 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:16 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:16 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:16 | Actual: 123 ms | Jitter: 23 ms
2026-02-18 12:30:17 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:17 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:17 | Actual: 106 ms | Jitter: 6 ms
2026-02-18 12:30:17 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:17 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:17 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:17 | Actual: 107 ms | Jitter: 7 ms
2026-02-18 12:30:17 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:17 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:18 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:18 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:18 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:18 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:18 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:18 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:18 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:18 | Actual: 96 ms | Jitter: -4 ms
2026-02-18 12:30:18 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:19 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:19 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:19 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:19 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:19 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:19 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:19 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:19 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:19 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:20 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:20 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:20 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:20 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:20 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:20 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:20 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:20 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:20 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:21 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:21 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:21 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:21 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:21 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:21 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:21 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:21 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:21 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:22 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:22 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:22 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:22 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:22 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:22 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:22 | Actual: 96 ms | Jitter: -4 ms
2026-02-18 12:30:22 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:22 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:23 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:23 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:23 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:23 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:23 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:23 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:23 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:23 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:23 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:23 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:24 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:24 | Actual: 107 ms | Jitter: 7 ms
2026-02-18 12:30:24 | Actual: 123 ms | Jitter: 23 ms
2026-02-18 12:30:24 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:24 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:24 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:24 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:24 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:24 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:25 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:25 | Actual: 125 ms | Jitter: 25 ms
2026-02-18 12:30:25 | Actual: 96 ms | Jitter: -4 ms
2026-02-18 12:30:25 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:25 | Actual: 123 ms | Jitter: 23 ms
2026-02-18 12:30:25 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:25 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:25 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:25 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:26 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:26 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:26 | Actual: 107 ms | Jitter: 7 ms
2026-02-18 12:30:26 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:26 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:26 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:26 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:26 | Actual: 107 ms | Jitter: 7 ms
2026-02-18 12:30:26 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:27 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:27 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:27 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:27 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:27 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:27 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:27 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:27 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:27 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:28 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:28 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:28 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:28 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:28 | Actual: 106 ms | Jitter: 6 ms
2026-02-18 12:30:28 | Actual: 107 ms | Jitter: 7 ms
2026-02-18 12:30:28 | Actual: 107 ms | Jitter: 7 ms
2026-02-18 12:30:28 | Actual: 122 ms | Jitter: 22 ms
2026-02-18 12:30:28 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:29 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:29 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:29 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:29 | Actual: 123 ms | Jitter: 23 ms
2026-02-18 12:30:29 | Actual: 95 ms | Jitter: -5 ms
2026-02-18 12:30:29 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:29 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:29 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:29 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:30 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:30 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:30 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:30 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:30 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:30 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:30 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:30 | Actual: 106 ms | Jitter: 6 ms
2026-02-18 12:30:30 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:31 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:31 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:31 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:31 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:31 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:31 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:31 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:31 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:31 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:32 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:32 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:32 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:32 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:32 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:32 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:32 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:32 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:32 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:32 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:33 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:33 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:33 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:33 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:33 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:33 | Actual: 107 ms | Jitter: 7 ms
2026-02-18 12:30:33 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:33 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:33 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:34 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:34 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:34 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:34 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:34 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:34 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:34 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:34 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:34 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:35 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:35 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:35 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:35 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:35 | Actual: 124 ms | Jitter: 24 ms
2026-02-18 12:30:35 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:35 | Actual: 107 ms | Jitter: 7 ms
2026-02-18 12:30:35 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:35 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:36 | Actual: 96 ms | Jitter: -4 ms
2026-02-18 12:30:36 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:36 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:36 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:36 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:36 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:36 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:36 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:36 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:37 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:37 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:37 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:37 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:37 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:37 | Actual: 107 ms | Jitter: 7 ms
2026-02-18 12:30:37 | Actual: 107 ms | Jitter: 7 ms
2026-02-18 12:30:37 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:37 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:38 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:38 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:38 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:38 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:38 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:38 | Actual: 107 ms | Jitter: 7 ms
2026-02-18 12:30:38 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:38 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:38 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:39 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:39 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:39 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:39 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:39 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:39 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:39 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:39 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:39 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:39 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:40 | Actual: 110 ms | Jitter: 10 ms
